;Grid_Code;buildings_total_units;n_occupied_by_owner;n_ownership_with_current_household;n_owned_without_current_household;n_rented_for_residential_purposes;n_rented_with_current_household;n_rented_without_current_household;n_vacation_and_leisure;n_vacant;n_diplomatic_army;n_commercial_use;we_private_individuals;we_private_companies_legal_entities;we_public_companies;we_housing_cooperative;we_does_not_apply_since_no_condominium;w_less_30;w_30_60;w_60_100;w_100_and_more;w_gewerblich;r_1;r_2;r_3;r_4;r_5;r_6;r_7_and_more;r_gewerblich;gs_buildings_with_living_space;gs_residential_buildings;gs_residential_buildings_no_dormitories;gs_dormitory;gs_other_building_with_living_space;j_before_1919;j_1919_1948;j_1949_1978;j_1979_1995;j_1996_2008;j_2009_and_later;e_community_of_apartment_owners;e_private_persons;e_housing_cooperative;e_municipality_housing_company;e_private_housing_company;e_other_private_company;e_federal_or_state_government;e_nonprofit_organization;gt_detached_house;gt_semidetached_house;gt_terraced_house;gt_other_type_of_building;gg_detached_single_family_house;gg_onefamily_semidetached;gg_onefamily_terraced_house;gg_detached_twofamily;gg_twofamily_semidetached_house;gg_twofamily_terraced_house;gg_apartment_3_6;gg_apartment_7_12;gg_apartment_13;gg_other_building_type;h_district;h_floor;h_block;h_central;h_stoves_night;h_no_heating;z_1_apart;z_2_apart;z_3_6_apart;z_7_12_apart;z_13_and_more_apart
9654;100mN33306E42414;47;0;11;0;0;29;4;0;3;0;0;24;3;0;0;21;0;19;14;13;0;0;8;15;16;3;4;0;0;0;0;40;0;7;3;0;34;0;6;0;26;20;0;0;0;0;0;0;0;0;43;3;0;0;0;0;0;0;16;9;18;3;0;3;0;43;0;0;0;3;18;9;18
9655;100mN33306E42415;26;0;4;0;0;21;0;0;0;0;0;10;0;0;0;16;0;9;14;0;0;0;5;8;11;0;0;0;0;0;0;24;0;3;0;0;26;0;0;0;10;16;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;3;24;0;0;0;0;8;0;17;0;0;0;3;24;0;0
9827;100mN33307E42414;17;0;3;0;0;14;0;0;0;0;0;16;0;0;0;0;11;4;0;0;0;11;0;3;0;0;0;0;0;0;0;17;0;0;0;0;17;0;0;0;16;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;16;0;0;0;17;0;0;0;0;0;0;16
9828;100mN33307E42415;166;0;5;0;0;149;0;0;10;0;0;121;0;0;0;45;21;130;12;0;0;46;67;44;6;0;0;0;0;0;0;152;0;14;0;0;110;56;0;0;121;13;0;0;31;0;0;0;0;0;164;3;0;0;0;0;0;0;0;12;149;3;0;0;0;161;0;0;0;0;5;12;149
9829;100mN33307E42416;203;0;18;0;0;172;3;0;11;0;0;92;0;0;0;110;124;43;31;0;0;111;29;34;20;7;0;0;0;0;0;203;0;0;0;0;203;0;0;0;93;11;0;0;97;0;0;0;28;0;110;65;0;0;0;0;0;0;9;0;126;65;0;4;0;188;0;0;0;0;9;0;188
9999;100mN33308E42412;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0
10000;100mN33308E42413;10;0;0;0;0;4;0;0;5;0;0;0;0;0;0;10;0;0;9;0;0;0;0;5;0;3;0;0;0;0;0;0;0;9;0;3;7;0;0;0;0;5;0;0;0;4;0;0;0;3;6;0;0;0;3;0;3;3;0;0;0;0;0;0;0;9;0;0;5;4;0;0;0
10001;100mN33308E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10002;100mN33308E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10003;100mN33308E42416;64;0;3;0;0;60;0;0;0;0;0;5;0;0;0;59;13;27;18;6;0;17;4;25;12;4;0;0;0;0;0;45;0;19;8;25;21;9;0;0;5;55;0;0;3;0;0;0;5;0;46;13;0;0;0;0;0;0;23;10;16;13;0;8;0;56;0;0;0;3;35;11;16
10172;100mN33309E42411;5;0;0;0;0;4;0;0;0;0;0;0;0;0;0;5;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;5;0;0;5;0;0;0;0;3;0;0;0;0;0;3;0;0;3;3;0;0;3;0;0;0;0;0;0;3;0;0;0;3;0;0;3;3;0;0;0
10173;100mN33309E42412;46;0;3;0;0;42;0;0;0;0;0;14;0;0;0;32;14;14;13;0;0;6;14;15;7;3;0;0;0;0;0;17;0;29;0;0;45;0;0;0;14;25;0;0;0;5;0;0;0;0;32;13;0;0;0;0;0;0;9;9;15;13;4;15;9;18;0;0;0;0;12;17;16
10174;100mN33309E42413;45;0;0;0;0;43;0;0;3;0;0;0;0;0;0;45;0;36;3;0;0;0;30;8;3;0;0;0;0;0;0;3;0;42;0;0;17;28;0;0;0;34;0;0;8;0;0;0;0;0;44;0;0;0;0;0;0;0;3;12;30;0;0;4;0;41;0;0;0;0;3;12;30
10175;100mN33309E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10176;100mN33309E42415;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
10177;100mN33309E42416;16;0;0;0;0;11;0;3;0;0;0;0;0;0;0;16;5;4;0;3;0;5;7;0;0;0;0;0;0;0;0;0;0;16;13;0;3;0;0;0;0;14;0;0;0;0;0;0;0;0;8;8;0;0;0;0;0;3;6;0;0;8;0;3;0;13;0;0;0;3;7;7;0
10178;100mN33309E42417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10179;100mN33309E42418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10347;100mN33310E42409;33;0;0;0;0;32;0;0;0;0;0;4;0;0;0;29;0;16;17;0;0;0;9;13;7;3;0;0;0;0;0;23;0;10;0;0;32;0;0;0;4;27;0;0;0;0;0;0;8;0;25;0;0;0;3;0;0;0;14;16;0;0;0;21;0;11;0;0;3;0;14;16;0
10348;100mN33310E42410;109;0;12;0;0;96;0;0;0;0;0;54;0;0;0;55;8;58;36;9;0;18;36;26;20;7;3;0;0;0;0;96;0;13;0;0;69;28;9;0;54;46;0;0;5;0;0;0;0;0;105;4;0;0;0;0;0;0;8;52;45;4;0;0;0;109;0;0;0;0;12;52;45
10349;100mN33310E42411;59;0;3;5;0;50;0;0;0;0;0;26;0;0;0;33;3;37;15;0;0;11;17;24;5;3;0;0;0;0;0;59;0;0;6;0;51;0;0;0;26;9;0;0;0;20;0;0;0;0;58;0;0;0;0;0;0;0;13;7;37;0;0;6;0;52;0;0;0;0;13;7;38
10350;100mN33310E42412;100;0;0;0;0;85;0;0;14;0;0;28;0;0;0;72;3;83;12;3;0;11;34;44;8;3;0;0;0;0;0;90;0;10;0;0;94;3;0;0;28;18;0;0;0;48;0;0;0;0;99;0;0;0;0;0;0;0;7;15;76;0;0;3;0;96;0;0;3;0;7;15;76
10351;100mN33310E42413;11;0;0;0;0;10;0;0;0;0;0;0;0;0;0;10;0;6;3;0;0;0;5;3;3;0;0;0;0;0;0;0;0;11;0;0;10;0;0;0;0;9;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;3;7;0;0;0;0;0;8;0;0;0;0;3;7;0
10352;100mN33310E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10353;100mN33310E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10354;100mN33310E42416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10519;100mN33311E42406;38;0;7;0;0;30;0;0;0;0;0;20;0;0;0;18;3;11;22;0;0;5;5;12;10;6;0;0;0;0;0;38;0;0;0;0;34;0;0;0;20;10;0;0;6;0;0;0;0;0;38;0;0;0;0;0;0;0;14;24;0;0;0;11;0;25;0;0;0;0;14;24;0
10520;100mN33311E42407;48;0;15;0;0;29;0;0;4;0;0;20;0;0;0;28;0;29;11;3;0;0;5;27;12;0;0;3;0;0;0;48;0;0;0;0;48;0;0;0;20;26;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;4;30;11;0;0;0;25;0;21;0;0;0;4;30;11;0
10521;100mN33311E42408;118;0;30;0;0;86;0;0;3;0;0;61;0;0;0;57;0;37;74;6;0;0;15;47;48;5;3;0;0;0;0;112;0;6;0;0;117;0;0;0;61;32;0;0;15;0;0;5;10;0;108;0;0;0;0;0;0;9;28;80;0;0;0;59;0;54;0;0;0;9;28;80;0
10522;100mN33311E42409;101;0;18;0;0;80;0;0;3;0;0;66;3;0;0;32;3;53;41;3;0;3;22;31;43;0;0;0;0;0;0;99;0;3;4;0;97;0;0;0;69;28;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;60;40;0;0;0;64;0;34;0;0;0;0;61;40;0
10523;100mN33311E42410;37;0;6;0;0;31;0;0;0;0;0;17;0;0;0;19;3;16;15;3;0;0;3;15;11;8;0;0;0;0;0;37;0;0;0;8;29;0;0;0;18;17;0;0;0;0;0;0;23;0;13;0;0;0;0;0;0;0;15;7;14;0;0;5;0;30;0;0;0;0;15;8;14
10524;100mN33311E42411;38;0;10;0;0;25;0;0;3;0;0;22;0;0;0;16;0;14;20;3;0;0;7;11;13;4;3;0;0;0;0;29;0;9;0;4;32;0;0;0;22;13;0;0;0;0;0;0;0;0;37;0;0;0;3;0;0;0;9;9;17;0;0;0;0;36;0;0;3;0;9;9;17
10525;100mN33311E42412;22;0;0;0;0;21;0;0;0;0;0;0;0;0;0;21;0;22;0;0;0;0;19;3;0;0;0;0;0;0;0;15;0;7;0;0;22;0;0;0;0;7;0;0;14;0;0;0;0;0;22;0;0;0;0;0;0;0;0;7;14;0;0;0;0;21;0;0;0;0;0;7;14
10526;100mN33311E42413;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;3;0;0;0
10527;100mN33311E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10528;100mN33311E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10694;100mN33312E42406;12;0;0;0;0;10;0;0;0;0;0;0;0;0;0;12;0;3;5;0;0;0;0;6;6;0;0;0;0;0;0;12;0;0;0;0;12;0;0;0;0;7;0;0;3;0;0;0;0;0;12;0;0;0;0;0;0;0;12;0;0;0;0;9;0;3;0;0;0;0;12;0;0
10695;100mN33312E42407;43;0;13;0;0;29;0;0;0;0;0;23;0;0;0;20;0;11;29;3;0;0;3;10;25;3;3;0;0;0;0;40;0;3;0;0;42;0;0;0;23;11;0;3;3;0;0;3;0;7;35;0;0;0;0;0;0;0;25;15;0;0;0;22;0;17;3;0;0;3;25;15;0
10696;100mN33312E42408;61;0;9;0;0;51;0;0;0;0;0;25;0;0;0;35;0;26;25;10;0;3;17;15;20;6;0;0;0;0;0;48;0;13;6;0;44;9;0;0;26;33;0;0;0;0;0;0;0;0;58;3;0;0;0;0;0;3;29;27;0;3;5;13;0;43;0;0;0;3;32;27;0
10697;100mN33312E42409;129;0;12;0;0;115;0;0;3;0;0;40;0;0;0;89;14;42;68;3;0;18;21;46;34;9;0;0;0;0;0;129;0;0;0;0;93;36;0;0;40;35;0;0;51;0;0;0;0;0;129;0;0;0;0;0;0;0;7;60;62;0;0;0;0;126;0;0;0;0;7;60;62
10698;100mN33312E42410;63;0;24;0;0;38;0;0;0;0;0;38;0;0;0;24;3;16;40;0;0;3;7;23;27;0;0;0;0;0;0;63;0;0;0;0;63;0;0;0;39;0;0;0;24;0;0;0;0;0;63;0;0;0;0;0;0;0;0;38;24;0;0;0;5;53;0;0;0;0;0;38;24
10699;100mN33312E42411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10700;100mN33312E42412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10701;100mN33312E42413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10702;100mN33312E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10703;100mN33312E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10867;100mN33313E42403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10868;100mN33313E42404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10869;100mN33313E42405;43;0;7;0;0;34;0;0;0;0;0;7;3;0;0;34;3;21;17;3;0;0;18;10;13;0;0;0;0;0;0;43;0;0;4;0;39;0;0;0;9;31;0;0;0;0;0;0;0;4;39;0;0;0;0;0;0;0;25;18;0;0;0;15;0;27;0;0;0;0;25;18;0
10870;100mN33313E42406;131;0;18;0;0;113;0;0;0;0;0;45;0;0;0;86;0;62;60;4;0;0;18;56;47;7;3;0;0;0;0;131;0;0;0;0;131;0;0;0;45;69;0;0;12;0;0;0;12;3;114;3;0;0;0;0;3;0;51;74;0;3;17;52;0;61;0;0;0;3;54;74;0
10871;100mN33313E42407;78;0;12;0;0;64;0;0;3;0;0;27;0;0;0;51;3;28;44;0;0;7;11;18;40;0;0;0;0;0;0;67;0;11;0;0;76;3;0;0;27;40;0;0;8;0;0;0;0;0;70;8;0;0;0;0;0;0;33;22;15;8;5;8;0;65;0;0;0;0;34;29;15
10872;100mN33313E42408;97;0;0;0;0;96;0;0;0;0;0;0;0;0;0;97;5;70;19;0;0;6;16;65;8;0;0;0;0;0;0;81;0;16;0;0;97;0;0;0;0;24;0;0;71;0;0;0;0;0;96;0;0;0;0;0;0;0;8;64;25;0;0;6;0;90;0;0;0;0;8;64;25
10873;100mN33313E42409;65;0;0;0;0;65;0;0;0;0;0;0;0;0;0;65;10;29;22;0;0;14;15;16;19;0;0;0;0;0;0;65;0;0;0;0;65;0;0;0;0;0;0;0;63;0;0;0;0;0;65;0;0;0;0;0;0;0;0;16;49;0;0;0;0;65;0;0;0;0;0;16;49
10874;100mN33313E42410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10875;100mN33313E42411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10876;100mN33313E42412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10877;100mN33313E42413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10878;100mN33313E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10879;100mN33313E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10880;100mN33313E42416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11044;100mN33314E42402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11045;100mN33314E42403;6;0;0;0;0;4;0;0;3;0;0;0;0;0;0;6;0;3;3;0;0;0;0;5;0;0;0;0;0;0;0;0;0;6;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;6;0;4;0;0;0;0;0;0;6;0;0
11046;100mN33314E42404;28;0;6;0;0;17;4;0;0;0;0;27;0;0;0;0;0;9;15;0;0;0;0;16;9;0;0;0;0;0;0;28;0;0;0;0;28;0;0;0;27;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;11;16;0;0;0;0;27;0;0;0;0;0;11;16
11047;100mN33314E42405;26;0;0;0;0;26;0;0;0;0;0;3;0;0;0;24;0;14;13;0;0;0;8;3;10;5;0;0;0;0;0;12;0;14;0;0;21;5;0;0;3;19;0;0;0;0;0;3;0;3;19;3;0;0;0;0;0;0;22;0;0;3;0;12;0;14;0;0;3;3;22;0;0
11048;100mN33314E42406;117;0;19;0;0;96;0;0;3;0;0;28;0;0;0;89;3;89;22;0;0;3;12;64;34;3;3;0;0;0;0;117;0;0;0;0;117;0;0;0;28;81;0;0;0;0;0;0;3;0;115;0;0;0;0;3;0;4;88;0;23;0;0;59;0;55;0;0;0;6;88;0;23
11049;100mN33314E42407;65;0;5;0;0;59;0;0;0;0;0;8;0;0;0;57;17;13;35;0;0;3;18;14;26;5;0;0;0;0;0;65;0;0;0;0;65;0;0;0;8;50;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;0;14;17;34;0;0;18;0;44;0;0;0;0;14;17;34
11050;100mN33314E42408;7;0;0;0;0;7;0;0;0;0;0;0;0;0;0;7;0;0;3;3;0;0;0;3;4;0;0;0;0;0;0;0;0;7;0;0;7;0;0;0;0;0;0;0;0;4;0;0;0;0;6;0;0;0;0;0;0;0;0;6;0;0;0;0;0;7;0;0;0;0;0;6;0
11051;100mN33314E42409;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;3;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;3;0;0;0;0;3;0;0
11052;100mN33314E42410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11053;100mN33314E42411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11054;100mN33314E42412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11055;100mN33314E42413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11056;100mN33314E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11057;100mN33314E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11058;100mN33314E42416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11225;100mN33315E42401;36;0;14;0;0;21;0;0;0;0;0;29;0;0;0;7;0;9;26;0;0;0;3;8;20;4;0;0;0;0;0;36;0;0;0;0;36;0;0;0;29;6;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;30;6;0;0;0;22;0;12;0;0;0;0;30;6;0
11226;100mN33315E42402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11227;100mN33315E42403;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0
11228;100mN33315E42404;31;0;4;0;0;26;0;0;0;0;0;10;0;0;0;21;0;16;12;0;0;0;3;15;14;0;0;0;0;0;0;31;0;0;0;3;28;0;0;0;10;20;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;3;27;0;0;0;0;14;0;17;0;0;0;4;27;0;0
11229;100mN33315E42405;83;0;19;0;0;60;0;0;4;0;0;23;0;0;0;59;0;42;34;4;0;0;13;39;16;11;0;3;0;0;0;83;0;0;3;5;69;6;0;0;24;58;0;0;0;0;0;0;4;0;74;5;0;0;3;0;0;24;50;0;0;5;5;46;0;28;4;0;3;24;55;0;0
11230;100mN33315E42406;103;0;28;0;0;71;0;0;4;0;0;47;0;0;0;56;0;61;36;0;0;0;21;40;35;7;0;0;0;0;0;103;0;0;0;0;103;0;0;0;47;52;0;0;0;0;0;0;0;0;102;0;0;0;0;0;0;0;51;36;16;0;0;72;0;30;0;0;0;0;51;36;16
11231;100mN33315E42407;8;0;0;0;0;6;0;0;0;0;0;8;0;0;0;0;0;3;0;0;0;0;0;4;3;0;0;0;0;0;0;8;0;0;0;0;8;0;0;0;8;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;8;0;0;0;0;0;8;0;0;0;0;0;8;0
11232;100mN33315E42408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11233;100mN33315E42409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
